time,Latitude,Longitude,Altitude,Direction,Speed
0.042732954,53.54543981,9.93026466,29.72501183,-1,-1
0.447136998,53.54565542,9.929581392,35.66348839,-1,-1
2.102514625,53.545654,9.929580849,29.38765795,229.4216132,0.168247879
3.102510333,53.54563438,9.929582195,29.63303341,229.9828651,0.542477965
4.052507877,53.54561596,9.929576516,29.41024815,262.1541097,0.424197346
5.047504187,53.54560595,9.929545058,29.23376691,280.3378746,0.424197346
6.047500372,53.54558771,9.929510653,29.04811258,270.508912,0.355735749
7.047498226,53.54557431,9.929481306,28.82189845,279.7102178,0.558627784
8.049463034,53.54556401,9.929461984,28.63560817,295.1061951,0.558627784
9.049238443,53.54557008,9.929464173,28.43247274,328.4615597,0.558627784
10.04922628,53.54556625,9.929458091,28.31065353,299.6529834,0.542968988
11.04963481,53.54557288,9.929427936,28.232005,300.1464561,0.680656075
12.04963911,53.54557392,9.929415707,28.17960824,295.4660783,0.680656075
13.04962063,53.54557534,9.929405739,28.17224686,283.4842892,0.364887267
14.04981732,53.5455761,9.929400385,28.17224694,283.4842849,0.364887267
15.04884779,53.54557235,9.929402894,28.14416515,273.9829886,0.364887267
16.04882622,53.54557201,9.929405752,28.14951141,284.768878,0.334460139
17.04880738,53.54556727,9.929399913,28.13758086,265.1514305,0.591670692
18.04912078,53.54556311,9.929398353,28.12635144,263.1922545,0.591670692
19.04910493,53.54555505,9.929413433,28.08678361,219.5415255,0.373124599
20.04909718,53.54555616,9.92943228,28.04464638,-1,0.276953042
21.04777062,53.54556618,9.929452057,28.01760548,-1,0.223103359
22.04776192,53.54556644,9.929469238,28.01645219,-1,0.258292258
23.04775441,53.54556606,9.92950274,28.01672382,90.47831745,0.258292258
24.04774749,53.54555956,9.929534845,27.97992867,107.5118392,0.736342251
25.04774153,53.54555687,9.929554507,27.91615078,102.0618475,0.737782538
26.04773581,53.54555554,9.929570842,27.85679808,97.88143708,0.741193354
27.04772973,53.54555593,9.929590451,27.82464019,108.6255294,0.741193354
28.04772377,53.5455573,9.929607882,27.79356795,118.6569137,0.657871246
29.04771709,53.54555381,9.929614131,27.77836904,111.3684341,0.496995419
30.04771113,53.54555198,9.929631496,27.74601659,110.6939076,0.479556412
31.04770648,53.54555312,9.929643576,27.71685253,127.6982247,0.402048707
32.04770195,53.54555171,9.929661104,27.68131942,104.3958746,0.405889899
33.04769456,53.54555757,9.929675756,27.66500222,105.8796204,0.405889899
34.04768884,53.54555955,9.92968592,26.21479049,96.16477672,0.534272394
