time,Pressure
0.476771,992.2511292
1.477351,992.2570038
2.477924,992.2711945
3.478507,992.2781372
4.479077,992.2781372
5.030033,992.2736359
6.030608,992.2612
7.031185,992.2343445
8.031758,992.2026825
9.032336,992.1652222
10.032914,992.1281433
11.033484,992.0907593
12.034062,992.0618439
13.034647,992.0355988
14.035217,992.0084381
15.035795,991.9828796
16.03637,991.9607544
17.036947,991.9356537
18.037524,991.9070435
19.0381,991.8818665
20.038674,991.8639374
21.039249,991.847229
22.039829,991.8338013
23.040405,991.8235779
24.040977,991.8167114
25.041554,991.8069458
26.042129,991.7965698
27.042705,991.7865753
28.043286,991.7777252
29.043858,991.7675781
30.044438,991.7562866
31.045012,991.7460632
32.045588,991.7381287
33.046168,991.7285919
34.04674,991.7219543
35.047316,991.7150116
36.047895,991.7069244
37.048468,991.6962433
38.049046,991.6884613
39.04962,991.6809845
40.050192,991.6751099
41.050775,991.6664886
42.051352,991.6573334
43.051925,991.6494751
44.052504,991.6430664
45.053078,991.6335297
46.053663,991.6335297
47.05423,991.6335297
48.054808,991.6378784
49.055386,991.6426086
50.055963,991.6503906
51.056537,991.6540527
52.057115,991.6542816
53.057691,991.6542816
54.058264,991.6503143
55.058844,991.6488647
56.059419,991.6488647
57.059989,991.6526794
58.060569,991.6577911
59.061143,991.6651154
60.061714,991.6712952
61.062292,991.6765594
62.06287,991.6777802
63.063445,991.6819763
64.064022,991.6854095
65.064597,991.6854095
66.065176,991.6854095
67.065753,991.6918945
68.066329,991.700058
69.066901,991.7050934
70.067478,991.7059326
71.068051,991.7059326
72.068629,991.7055511
73.069205,991.7016602
74.069778,991.6999817
75.070356,991.6999817
76.070932,991.7041779
77.071512,991.7066193
78.072085,991.7084503
79.072661,991.7142487
80.073238,991.7186737
81.073811,991.7284393
82.074388,991.7334747
83.074964,991.7418671
84.075538,991.7473602
85.076119,991.7563629
86.076696,991.7628479
87.077266,991.7708588
88.077842,991.7790985
89.078419,991.7854309
90.078995,991.7891693
91.079573,991.7891693
92.080149,991.7855835
93.080722,991.7855835
94.081294,991.7818451
95.081869,991.7771149
96.082449,991.7658997
97.083027,991.762619
98.083602,991.7519379
99.08418,991.7409515
100.084753,991.7375946
101.08533,991.7351532
102.085906,991.7289734
103.08648,991.7251587
104.087056,991.7211151
105.087636,991.7155457
106.08821,991.7154694
107.088783,991.714325
108.089358,991.7103577
109.089938,991.7075348
110.09051,991.6999054
111.091085,991.6880798
112.091666,991.6801453
113.092238,991.6722107
114.092813,991.6705322
115.093392,991.6655731
116.093965,991.6568756
117.094545,991.6430664
118.095118,991.6347504
119.095695,991.6242981
120.09627,991.6133118
121.096848,991.6068268
122.097421,991.604538
123.098,991.5975189
124.098572,991.5866852
125.099153,991.5776062
126.099732,991.5694427
127.100304,991.5616608
128.10088,991.5594482
129.101453,991.5594482
130.102028,991.5594482
131.102606,991.5594482
132.103182,991.5602112
133.103757,991.5660858
134.104336,991.5692139
135.10491,991.5750122
136.105484,991.5799713
137.106061,991.5799713
138.106638,991.5749359
139.107212,991.5662384
140.107788,991.5601349
141.108364,991.5601349
142.108938,991.5688324
143.109516,991.5778351
144.11009,991.5943146
145.11067,991.6114044
146.111241,991.6271973
147.111819,991.6337585
148.112396,991.6337585
149.11297,991.632309
150.113545,991.628952
151.114125,991.6204834
152.114697,991.6136932
153.115274,991.6107941
154.115851,991.6070557
155.116423,991.6070557
156.117002,991.6081238
157.117579,991.6081238
158.118152,991.601944
159.118733,991.5994263
160.119303,991.5933228
161.11988,991.587677
162.120459,991.5779114
163.121032,991.5740967
164.121616,991.5705872
165.122188,991.5636444
166.122759,991.5572357
167.123335,991.5532684
168.123912,991.548233
169.124488,991.5460205
170.125065,991.5442657
171.125637,991.5442657
172.126214,991.5444183
173.126791,991.5444183
174.127368,991.5468597
175.127944,991.5488434
176.128519,991.5504456
177.129096,991.550827
178.129673,991.5504456
179.130244,991.5454865
180.130821,991.5407562
181.131401,991.5302277
182.131975,991.5196228
183.132549,991.5104675
184.133129,991.5026855
185.133703,991.4984131
186.134282,991.4978027
187.134852,991.4978027
188.135429,991.5003967
189.136013,991.5052032
190.136585,991.5090179
191.137162,991.518631
192.137737,991.5259552
193.138316,991.5319824
194.138886,991.5351868
195.13946,991.5351868
196.140039,991.5341949
197.140616,991.5322113
198.14119,991.525116
199.141767,991.5142822
200.142341,991.5019989
201.142918,991.4852905
202.143499,991.4676666
203.144075,991.4563751
204.144647,991.4533997
205.145229,991.4533997
206.145803,991.4580536
207.14638,991.4682007
208.146954,991.4797974
209.147532,991.4943695
210.148108,991.5115356
211.148685,991.5312958
212.149261,991.5476227
213.149831,991.5646362
214.15041,991.5753937
215.15099,991.5818024
216.151567,991.5888214
217.152137,991.5979767
218.152716,991.6038513
219.153293,991.6062164
220.153867,991.6113281
221.154441,991.618042
222.155023,991.6278076
223.155594,991.6448212
224.156174,991.6673279
225.156744,991.6989136
226.157322,991.7353821
227.157899,991.7720795
228.158474,991.802063
229.15905,991.8231201
230.159628,991.831131
231.160199,991.8338013
232.160779,991.8377686
233.161353,991.8501282
234.161932,991.8721008
235.162511,991.9039154
236.163081,991.9341278
237.163653,991.9641876
238.164232,991.990509
239.164808,992.016983
240.16539,992.046051
241.165963,992.0736694
242.166538,992.0998383
243.167114,992.1234131
244.167693,992.1385956
245.168265,992.1421051
246.168847,992.1421051
247.169419,992.1353149
248.169993,992.121582
249.170571,992.1021271
250.17115,992.0792389
251.171726,992.0536804
252.172301,992.0236206
253.172876,991.9945526
254.173453,991.9702911
255.174029,991.9490051
256.174606,991.9286346
257.175181,991.9099426
258.175752,991.8941498
259.176334,991.879425
260.17691,991.8676758
261.177483,991.8591309
262.178064,991.8518066
263.178636,991.8412781
264.17921,991.8297577
265.179786,991.8159485
266.180367,991.7967987
267.18094,991.7786407
268.181515,991.7589569
269.182091,991.7415619
270.182667,991.7230225
271.183246,991.706543
272.18382,991.6921234
273.184401,991.6786957
274.184972,991.6619873
275.185552,991.6444397
276.186124,991.627121
277.186703,991.608429
278.187277,991.5927124
279.187852,991.5794373
280.188431,991.5720367
281.189007,991.5658569
282.189581,991.5593719
283.190158,991.5499115
284.190734,991.5359497
285.191312,991.5225983
286.191891,991.5105438
287.192461,991.5003204
288.19304,991.4930725
289.19362,991.4891815
290.194195,991.4834595
291.194771,991.4746094
292.195345,991.4729309
293.195922,991.4729309
294.196499,991.4748383
295.197072,991.4796448
296.197649,991.4873505
297.198225,991.4873505
298.198802,991.4829254
299.199374,991.4759827
300.19995,991.4684296
301.200527,991.4578247
302.201105,991.4521027
303.201686,991.4480591
304.202258,991.4432526
305.202833,991.4388275
306.203413,991.4386749
307.203987,991.4388275
308.204561,991.4402008
309.205139,991.4470673
310.205718,991.4533997
311.206292,991.4582825
312.206864,991.4652252
313.207443,991.4652252
314.208018,991.4665985
315.208592,991.4649963
316.209173,991.4649963
317.209748,991.4628601
318.210319,991.4614868
319.210897,991.4607239
320.211472,991.4582825
321.21205,991.4530182
322.212631,991.4457703
323.213202,991.4374542
324.213779,991.4267731
325.214355,991.4192963
326.214933,991.415863
327.215508,991.4138794
328.216085,991.4138794
329.21666,991.4138794
330.217236,991.4125824
331.217813,991.4115143
332.218393,991.4096069
333.218963,991.4067078
334.219539,991.4034271
335.220119,991.4019775
336.220692,991.399765
337.221267,991.3987732
338.221844,991.3987732
339.222419,991.3995361
340.222998,991.4034271
341.223572,991.4089203
342.22415,991.4115906
343.224721,991.4146423
344.225299,991.4146423
345.225878,991.4097595
346.226453,991.4051056
347.227025,991.3991547
348.227604,991.3936615
349.228179,991.3891602
350.228759,991.3864136
351.229334,991.3824463
352.22991,991.3824463
353.230486,991.3833618
354.231065,991.3838196
355.231639,991.3856506
356.232215,991.3860321
357.23279,991.3864136
358.233367,991.3864899
359.233942,991.3864136
360.23452,991.386261
361.235098,991.383667
362.235668,991.3826752
363.236247,991.3773346
364.236825,991.3758087
365.237397,991.3747406
366.237975,991.3747406
367.238555,991.3751221
368.239126,991.3771057
369.239706,991.3771057
370.24028,991.3770294
371.240857,991.375885
372.241434,991.375885
373.242007,991.3793945
374.242584,991.3848114
375.243162,991.387558
376.243735,991.3898468
377.244314,991.390152
378.244891,991.390152
379.245473,991.3853455
380.246042,991.3799286
381.246617,991.374588
382.247194,991.3677216
383.247767,991.3613129
384.24835,991.3573456
385.248923,991.3571167
386.249504,991.3542175
387.250073,991.3542175
388.250649,991.3557434
389.251228,991.3595581
390.251801,991.363678
391.252387,991.366806
392.252956,991.3694
393.253536,991.372757
394.254106,991.372757
395.254685,991.3660431
396.255261,991.3619995
397.255837,991.3612366
398.256415,991.3526917
399.256991,991.3417053
400.257564,991.3381958
401.258143,991.3339996
402.25872,991.3339996
403.259296,991.340332
404.259873,991.350708
405.260445,991.3630676
406.261022,991.3822174
407.261597,991.401062
408.262175,991.4175415
409.26275,991.4373016
410.263325,991.4600372
411.263903,991.4800262
412.264481,991.5009308
413.265059,991.5233612
414.26563,991.5442657
415.266207,991.5643311
416.266786,991.5901184
417.267364,991.6120911
418.267936,991.634903
419.268514,991.6610718
420.269092,991.6864014
421.269663,991.7076874
422.270246,991.7288971
423.270816,991.746521
424.271394,991.7578888
425.27197,991.7655182
426.27255,991.7726135
427.273121,991.7795563
