"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.670928360079670E9,"2022-12-13 11:46:00.080 UTC+01:00"
"PAUSE",2.579863765416667E2,1.670928618058834E9,"2022-12-13 11:50:18.059 UTC+01:00"
