time,Pressure
0.442185958,1010.229721
1.442762958,1010.231552
2.443340958,1010.236359
3.443913958,1010.245972
4.444493958,1010.249405
4.995440958,1010.256348
5.996016958,1010.273895
6.996591958,1010.296631
7.997168958,1010.32692
8.997745958,1010.365677
9.998323958,1010.399551
10.99889796,1010.428238
11.99947696,1010.455933
13.00005296,1010.482483
14.00062896,1010.503464
15.00120296,1010.525589
16.00178096,1010.543518
17.00236096,1010.556946
18.00293496,1010.583954
19.00350796,1010.618668
20.00408596,1010.657883
21.00466496,1010.705414
22.00524096,1010.756302
23.00581496,1010.791245
24.00639196,1010.812607
25.00696896,1010.820541
26.00754296,1010.820541
27.00812196,1010.81131
28.00869796,1010.81131
29.00927096,1010.821838
30.00985396,1010.845413
31.01042896,1010.88768
32.01100296,1010.935364
33.01157896,1010.978622
34.01216096,1011.012955
35.01273096,1011.037292
36.01330696,1011.057205
37.01388396,1011.076508
38.01445996,1011.091309
39.01503696,1011.113205
40.01560996,1011.135483
41.01618596,1011.159134
42.01676696,1011.18454
43.01733696,1011.211548
44.01791696,1011.243362
45.01849296,1011.272278
46.01906796,1011.305313
47.01964296,1011.332321
48.02021796,1011.359482
49.02079596,1011.384277
50.02136996,1011.404877
51.02194996,1011.419067
52.02252596,1011.438446
53.02310196,1011.457901
54.02367596,1011.469879
55.02425596,1011.492004
56.02483296,1011.51062
57.02540496,1011.518402
58.02597896,1011.528244
59.02655496,1011.545944
60.02713396,1011.55899
61.02770996,1011.583786
62.02828696,1011.616745
63.02886196,1011.653519
64.02944296,1011.685715
65.03001596,1011.708298
66.03059396,1011.730652
67.03116496,1011.754456
68.03174096,1011.769257
69.03231996,1011.788788
70.03289596,1011.817856
71.03347096,1011.843338
72.03404896,1011.864319
73.03462496,1011.885452
74.03519996,1011.897278
75.03578096,1011.913528
76.03635396,1011.934204
77.03693196,1011.961517
78.03750996,1011.996384
79.03808496,1012.028732
80.03866296,1012.054138
81.03923196,1012.073822
82.03981196,1012.091904
83.04038896,1012.100067
84.04096696,1012.110825
85.04153696,1012.118225
86.04211596,1012.131805
87.04269696,1012.135239
88.04326796,1012.143631
89.04384196,1012.149887
90.04442096,1012.163925
91.04499596,1012.175674
92.04557596,1012.195892
93.04615196,1012.215652
94.04672596,1012.242355
95.04730396,1012.27066
96.04787896,1012.290344
97.04845896,1012.304611
98.04902996,1012.314835
99.04961196,1012.321548
100.050182,1012.325363
101.050757,1012.330475
102.051337,1012.332306
103.051911,1012.33551
104.052492,1012.336197
105.053064,1012.336197
106.05364,1012.336044
107.054217,1012.333679
108.054793,1012.330322
109.055371,1012.328033
110.055945,1012.327271
111.056519,1012.326889
