"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669633112299375E9,"2022-11-28 11:58:32.299 UTC+01:00"
"PAUSE",3.767335155833280E2,1.669633489029452E9,"2022-11-28 12:04:49.029 UTC+01:00"
