"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.673275824338819E9,"2023-01-09 15:50:24.339 UTC+01:00"
"PAUSE",4.825310563750099E2,1.673276306829937E9,"2023-01-09 15:58:26.830 UTC+01:00"
