"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.673517707732584E9,"2023-01-12 11:01:47.733 UTC+01:00"
"PAUSE",4.332049900419079E2,1.673518140937086E9,"2023-01-12 11:09:00.937 UTC+01:00"
