"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.673859632916577E9,"2023-01-16 10:00:32.917 UTC+01:00"
"PAUSE",3.185862529170699E2,1.673859951492895E9,"2023-01-16 10:05:51.493 UTC+01:00"
